model,prompt_id,difficulty,CSS_solo,CSS_hpema,delta_CSS,delta_FV,delta_VS,delta_PA,delta_EC,tokens_solo,tokens_hpema,token_overhead,cost_solo_usd,cost_hpema_usd,incremental_cost_usd,delta_css_per_usd
deepseek-v4-flash,arinc429,L4,0.6476,0.578,-0.0696,0.0,-0.2299,-0.0027,0.0,4416.0,129307.0,29.2815,0.001164,0.022695,0.021531,-3.2325
deepseek-v4-flash,bitfield_extract,L3,0.6479,0.882,0.2341,0.6667,0.0,0.0027,0.0,1802.0,92690.0,51.4373,0.00046,0.015752,0.015292,15.3087
deepseek-v4-flash,circular_buffer,L2,0.5916,0.8387,0.2471,0.6667,0.0504,-0.0055,0.0,2130.0,44425.0,20.8568,0.00056,0.007886,0.007326,33.7292
deepseek-v4-flash,clamp,L1,0.8347,0.8175,-0.0172,0.0,-0.0424,-0.0014,-0.0417,718.0,19095.0,26.5947,0.000168,0.002874,0.002706,-6.3562
deepseek-v4-flash,crc16_ccitt,L3,0.6158,0.8035,0.1877,0.6667,-0.0489,0.0096,-0.3333,1454.0,83767.0,57.6114,0.000366,0.015258,0.014892,12.6041
deepseek-v4-flash,event_rate_limiter,L4,0.476,0.793,0.317,0.6667,0.2766,0.0028,0.0,3508.0,102297.0,29.1611,0.00092,0.017688,0.016768,18.9051
deepseek-v4-flash,fp_mul_q15,L4,0.6514,0.9424,0.291,0.6667,0.1932,-0.0014,0.0,3249.0,54102.0,16.6519,0.00085,0.009279,0.008429,34.5237
deepseek-v4-flash,in_range,L1,0.8976,0.8997,0.0021,0.0,0.0,0.0082,0.0,317.0,9189.0,28.9874,7.4e-05,0.001227,0.001153,1.8213
deepseek-v4-flash,int_moving_avg,L2,0.5486,0.8973,0.3487,1.0,0.0,-0.0054,0.0,2664.0,38238.0,14.3536,0.000711,0.007115,0.006404,54.4503
deepseek-v4-flash,is_zero,L1,1.0,0.999,-0.001,0.0,0.0,-0.0041,0.0,914.0,16649.0,18.2155,0.000246,0.0024,0.002154,-0.4643
deepseek-v4-flash,rate_limiter,L2,0.91,0.7516,-0.1584,0.0,-0.5256,-0.0027,0.0,1137.0,35146.0,30.9112,0.000279,0.005485,0.005206,-30.4264
deepseek-v4-flash,safe_divide,L1,0.6483,0.9949,0.3466,1.0,0.0,0.0054,-0.0476,1812.0,25894.0,14.2903,0.000475,0.00422,0.003745,92.5501
deepseek-v4-flash,safe_negate,L1,0.9993,0.965,-0.0343,0.0,0.0,-0.0041,-0.3333,575.0,15728.0,27.353,0.000144,0.00224,0.002096,-16.3645
deepseek-v4-flash,saturating_add,L2,0.7771,0.7358,-0.0413,0.0,-0.1434,0.0068,0.0,2048.0,28589.0,13.9595,0.000539,0.004756,0.004217,-9.7937
deepseek-v4-flash,scalar_kalman,L4,0.6322,0.6837,0.0515,0.3333,-0.2161,-0.0014,0.0,4066.0,38922.0,9.5726,0.001092,0.006805,0.005713,9.0145
deepseek-v4-flash,schedulability,L3,0.6469,0.7646,0.1177,0.3333,0.0,0.0041,0.0,1292.0,101684.0,78.7028,0.000316,0.01864,0.018324,6.4233
deepseek-v4-flash,state_machine,L3,0.8792,0.9378,0.0586,0.3333,-0.2041,0.0123,0.0,1861.0,31649.0,17.0064,0.00048,0.005274,0.004794,12.2236
deepseek-v4-flash,tmr_vote,L3,0.7078,0.8016,0.0938,0.3333,0.0059,0.0014,-0.25,4718.0,48890.0,10.3624,0.001277,0.008924,0.007647,12.2662
deepseek-v4-flash,xor_checksum,L2,0.5772,0.601,0.0238,0.0,0.0,0.0,0.2381,1589.0,107918.0,67.9157,0.00041,0.018808,0.018398,1.2936
deepseek-v4-pro,bitfield_extract,L3,0.4289,0.8826,0.4537,0.6667,0.7314,0.0041,0.0,3620.0,78345.0,21.6423,0.003012,0.044667,0.041655,10.8918
deepseek-v4-pro,circular_buffer,L2,0.5914,0.6326,0.0412,0.3334,-0.2513,0.0,0.0,3615.0,66510.0,18.3983,0.003033,0.037715,0.034682,1.1879
deepseek-v4-pro,clamp,L1,0.75,0.7362,-0.0138,0.0,-0.0321,0.0,-0.0417,1127.0,25608.0,22.7223,0.000879,0.013108,0.012229,-1.1285
deepseek-v4-pro,crc16_ccitt,L3,0.5086,0.5164,0.0078,0.0,0.0228,0.0041,0.0,1887.0,118922.0,63.0217,0.001517,0.068129,0.066612,0.1171
deepseek-v4-pro,fp_mul_q15,L4,0.5457,0.9969,0.4512,1.0,0.3384,-0.0014,0.0,2885.0,51507.0,17.8534,0.002324,0.030014,0.02769,16.2947
deepseek-v4-pro,in_range,L1,0.8976,0.899,0.0014,0.0,0.0,0.0055,0.0,979.0,9506.0,9.7099,0.000805,0.003572,0.002767,0.506
deepseek-v4-pro,int_moving_avg,L2,0.5493,0.7813,0.232,0.6667,0.0,-0.0055,0.0,3719.0,65817.0,17.6975,0.003125,0.036412,0.033287,6.9697
deepseek-v4-pro,is_zero,L1,0.9976,0.9997,0.0021,0.0,0.0,0.0082,0.0,783.0,22017.0,28.1188,0.000652,0.010929,0.010277,0.2043
deepseek-v4-pro,rate_limiter,L2,0.7397,0.8056,0.0659,0.0,0.2972,0.0068,-0.25,2397.0,36733.0,15.3246,0.001963,0.021967,0.020004,3.2943
deepseek-v4-pro,safe_divide,L1,0.5617,0.9942,0.4325,1.0,0.2908,0.0,-0.0476,2478.0,31901.0,12.8737,0.002056,0.016844,0.014788,29.2467
deepseek-v4-pro,safe_negate,L1,0.8826,0.9622,0.0796,0.3333,0.0,-0.0151,-0.3333,1161.0,15129.0,13.031,0.000957,0.006385,0.005428,14.6647
deepseek-v4-pro,saturating_add,L2,0.7346,0.7339,-0.0007,0.0,0.0022,-0.0055,0.0,2252.0,28145.0,12.4978,0.001852,0.015414,0.013562,-0.0516
deepseek-v4-pro,scalar_kalman,L4,0.6822,0.7764,0.0942,0.3333,-0.0713,-0.0041,0.0,4894.0,44104.0,9.0119,0.004113,0.025354,0.021241,4.4348
deepseek-v4-pro,schedulability,L3,0.6476,0.6474,-0.0002,0.0,0.0,-0.0006,0.0,2131.0,126986.0,59.5899,0.00171,0.070973,0.069263,-0.0029
deepseek-v4-pro,state_machine,L3,0.837,0.7731,-0.0639,0.0,-0.3104,0.0027,0.2857,2508.0,33845.0,13.4948,0.002055,0.018866,0.016811,-3.8011
deepseek-v4-pro,tmr_vote,L3,0.5089,0.8222,0.3133,0.6667,0.279,-0.0151,0.0,2806.0,43948.0,15.6622,0.002304,0.025027,0.022723,13.7878
deepseek-v4-pro,xor_checksum,L2,0.6058,0.6054,-0.0004,0.0,0.0,-0.0013,0.0,1649.0,106955.0,64.8605,0.001326,0.054733,0.053407,-0.0075
gpt-5.4-mini,bitfield_extract,L3,0.5288,0.9985,0.4697,1.0,0.3921,0.0082,0.0,970.0,45920.0,47.3402,0.003495,0.082495,0.079,5.9456
gpt-5.4-mini,crc16_ccitt,L3,0.4724,0.6907,0.2183,0.5,-0.1944,0.0061,1.0,606.0,101648.0,167.736,0.001973,0.222888,0.220915,0.9882
gpt-5.4-mini,fp_mul_q15,L4,0.635,0.7865,0.1515,0.5,-0.0714,-0.0082,0.0,692.0,43566.0,62.9566,0.00215,0.098753,0.096603,1.5683
gpt-5.4-mini,int_moving_avg,L2,0.7229,0.8979,0.175,0.5,0.0,0.0,0.0,928.0,75800.0,81.681,0.003521,0.168573,0.165052,1.0603
gpt-5.4-mini,is_zero,L1,1.0,0.9969,-0.0031,0.0,0.0,-0.0123,0.0,85.0,13346.0,157.0118,0.000116,0.021243,0.021127,-0.1467
gpt-5.4-mini,rate_limiter,L2,0.9964,0.8674,-0.129,0.0,-0.4282,-0.0021,0.0,654.0,28575.0,43.6927,0.002223,0.058777,0.056554,-2.281
gpt-5.4-mini,scalar_kalman,L4,0.8209,0.8954,0.0745,0.5,0.0,-0.002,-1.0,1237.0,43698.0,35.3258,0.004644,0.093245,0.088601,0.8408
gpt-5.4-mini,schedulability,L3,0.6495,0.8235,0.174,0.5,0.0,-0.0041,0.0,615.0,101612.0,165.2228,0.001845,0.253017,0.251172,0.6928
gpt-5.4-mini,state_machine,L3,0.9954,0.8834,-0.112,0.0,-0.3765,0.0041,0.0,700.0,21488.0,30.6971,0.002368,0.044849,0.042481,-2.6365
gpt-5.4-mini,tmr_vote,L3,0.8224,1.0,0.1776,0.5,0.0,0.0102,0.0,672.0,33272.0,49.5119,0.002154,0.053364,0.05121,3.4681
qwen3-coder,bitfield_extract,L3,0.4645,0.5626,0.0981,0.0,0.2017,0.0,0.375,1245.0,70530.0,56.6506,0.0,0.0,0.0,nan
qwen3-coder,circular_buffer,L2,0.5288,0.6456,0.1168,0.0,0.2915,0.0027,0.2857,927.0,67073.0,72.3549,0.0,0.0,0.0,nan
qwen3-coder,clamp,L1,0.5607,0.838,0.2773,1.0,-0.2422,0.0,0.0,432.0,15684.0,36.3056,0.0,0.0,0.0,nan
qwen3-coder,crc16_ccitt,L3,0.5426,0.6456,0.103,0.0,0.3422,0.0013,0.0,729.0,86628.0,118.8313,0.0,0.0,0.0,nan
qwen3-coder,in_range,L1,0.462,0.9303,0.4683,1.0,0.2807,0.0027,0.3333,316.0,16473.0,52.1297,0.0,0.0,0.0,nan
qwen3-coder,int_moving_avg,L2,0.5452,0.5459,0.0007,0.0,0.0,0.0027,0.0,791.0,69325.0,87.6422,0.0,0.0,0.0,nan
