model,condition,prompt_id,difficulty,n_reps,FV_mean,FV_ci95,VS_mean,VS_ci95,PA_mean,PA_ci95,EC_mean,EC_ci95,CSS_mean,iter_mean,total_tokens_mean,cost_usd_mean,css_per_1k_tokens
deepseek-v4-flash,hpema,arinc429,L4,3,0.0,0.0,0.7701,0.4506,0.9877,0.0,1.0,0.0,0.578,3.0,129307.0,0.022695,0.0045
deepseek-v4-flash,hpema,bitfield_extract,L3,3,0.6667,0.6533,1.0,0.0,0.9945,0.0107,1.0,0.0,0.882,3.0,92690.0,0.015752,0.0095
deepseek-v4-flash,hpema,circular_buffer,L2,3,1.0,0.0,0.4738,0.5196,0.9863,0.0027,1.0,0.0,0.8387,2.33,44425.0,0.007886,0.0189
deepseek-v4-flash,hpema,clamp,L1,3,1.0,0.0,0.4123,0.5762,0.9918,0.008,0.9583,0.0817,0.8175,2.33,19095.0,0.002874,0.0428
deepseek-v4-flash,hpema,crc16_ccitt,L3,3,0.6667,0.6533,0.8485,0.2969,0.9959,0.0046,0.6667,0.6533,0.8035,3.0,83767.0,0.015258,0.0096
deepseek-v4-flash,hpema,event_rate_limiter,L4,3,0.6667,0.6533,0.708,0.5723,0.9891,0.0097,1.0,0.0,0.793,3.0,102297.0,0.017688,0.0078
deepseek-v4-flash,hpema,fp_mul_q15,L4,3,1.0,0.0,0.8182,0.3564,0.9877,0.008,1.0,0.0,0.9424,3.0,54102.0,0.009279,0.0174
deepseek-v4-flash,hpema,in_range,L1,3,1.0,0.0,1.0,0.0,0.9986,0.0027,0.0,0.0,0.8997,1.0,9189.0,0.001227,0.0979
deepseek-v4-flash,hpema,int_moving_avg,L2,3,1.0,0.0,1.0,0.0,0.9891,0.0071,0.0,0.0,0.8973,3.0,38238.0,0.007115,0.0235
deepseek-v4-flash,hpema,is_zero,L1,3,1.0,0.0,1.0,0.0,0.9959,0.008,1.0,0.0,0.999,2.33,16649.0,0.0024,0.06
deepseek-v4-flash,hpema,rate_limiter,L2,3,1.0,0.0,0.1845,0.0466,0.985,0.0071,1.0,0.0,0.7516,2.33,35146.0,0.005485,0.0214
deepseek-v4-flash,hpema,safe_divide,L1,3,1.0,0.0,1.0,0.0,0.9986,0.0027,0.9524,0.0934,0.9949,1.67,25894.0,0.00422,0.0384
deepseek-v4-flash,hpema,safe_negate,L1,3,1.0,0.0,1.0,0.0,0.9932,0.0071,0.6667,0.6533,0.965,2.0,15728.0,0.00224,0.0614
deepseek-v4-flash,hpema,saturating_add,L2,3,1.0,0.0,0.1262,0.035,0.9918,0.0046,1.0,0.0,0.7358,3.0,28589.0,0.004756,0.0257
deepseek-v4-flash,hpema,scalar_kalman,L4,3,1.0,0.0,0.296,0.0483,0.9795,0.0,0.0,0.0,0.6837,3.0,38922.0,0.006805,0.0176
deepseek-v4-flash,hpema,schedulability,L3,3,0.3333,0.6533,1.0,0.0,0.9918,0.0046,1.0,0.0,0.7646,3.0,101684.0,0.01864,0.0075
deepseek-v4-flash,hpema,state_machine,L3,3,1.0,0.0,0.7959,0.4,0.9959,0.0046,1.0,0.0,0.9378,2.67,31649.0,0.005274,0.0296
deepseek-v4-flash,hpema,tmr_vote,L3,3,1.0,0.0,0.4323,0.5584,0.9877,0.008,0.75,0.245,0.8016,3.0,48890.0,0.008924,0.0164
deepseek-v4-flash,hpema,xor_checksum,L2,3,0.0,0.0,1.0,0.0,0.9945,0.0054,0.5238,0.4667,0.601,3.0,107918.0,0.018808,0.0056
deepseek-v4-flash,solo,arinc429,L4,3,0.0,0.0,1.0,0.0,0.9904,0.0097,1.0,0.0,0.6476,1.0,4416.0,0.001164,0.1467
deepseek-v4-flash,solo,bitfield_extract,L3,3,0.0,0.0,1.0,0.0,0.9918,0.008,1.0,0.0,0.6479,1.0,1802.0,0.00046,0.3596
deepseek-v4-flash,solo,circular_buffer,L2,3,0.3333,0.6533,0.4234,0.5651,0.9918,0.008,1.0,0.0,0.5916,1.0,2130.0,0.00056,0.2778
deepseek-v4-flash,solo,clamp,L1,3,1.0,0.0,0.4547,0.5344,0.9932,0.0097,1.0,0.0,0.8347,1.0,718.0,0.000168,1.1625
deepseek-v4-flash,solo,crc16_ccitt,L3,3,0.0,0.0,0.8974,0.201,0.9863,0.0027,1.0,0.0,0.6158,1.0,1454.0,0.000366,0.4236
deepseek-v4-flash,solo,event_rate_limiter,L4,3,0.0,0.0,0.4314,0.5578,0.9863,0.0097,1.0,0.0,0.476,1.0,3508.0,0.00092,0.1357
deepseek-v4-flash,solo,fp_mul_q15,L4,3,0.3333,0.6533,0.625,0.3742,0.9891,0.0117,1.0,0.0,0.6514,1.0,3249.0,0.00085,0.2005
deepseek-v4-flash,solo,in_range,L1,3,1.0,0.0,1.0,0.0,0.9904,0.0117,0.0,0.0,0.8976,1.0,317.0,7.4e-05,2.8316
deepseek-v4-flash,solo,int_moving_avg,L2,3,0.0,0.0,1.0,0.0,0.9945,0.0054,0.0,0.0,0.5486,1.0,2664.0,0.000711,0.2059
deepseek-v4-flash,solo,is_zero,L1,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,914.0,0.000246,1.0945
deepseek-v4-flash,solo,rate_limiter,L2,3,1.0,0.0,0.7101,0.5681,0.9877,0.0046,1.0,0.0,0.91,1.0,1137.0,0.000279,0.8003
